ID,Q6,Q7_1,Q7_2,Q7_3,Q7_4,Q7_5,Q7_5,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q8_6,Q8_7,Q8_8,Q8_9,Q8_10,Q8_11,Q8_12,Q8_12,Q9,Q10,Q10_기타,Q11,Q11_기타,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q12_6,Q12_7,Q12_8,Q12_9,Q12_9,Q13_1,Q13_2,Q13_3,Q13_4,Q13_5,Q13_6,Q13_7,Q13_7,Q14_1,Q14_2,Q14_3,Q14_4,Q15_1,Q15_2,Q15_3,Q15_4,Q16_1,Q16_2,Q16_3,Q16_4,Q17_1,Q17_2,Q17_3,Q17_4,Q17_5,Q17_5,Q18,Q19,Q20
26095,1,1,,,,,,1,2,,,5,,,,,,,,,4,3,,4,,1,2,3,,,,,,,,,2,,,,6,,,2,2,2,1,2,3,3,3,,Case-based Contents,Case-based Contents,,1,,3,,,,2,,연구 참여자 및 출판 윤리
26125,1,,,3,4,,,1,2,,,5,,,,,10,11,,,2,,,2,,1,,3,,,,,8,,,,2,3,,,,,,2,1,1,1,4,,,,,,,,,,,4,,,2,,
26147,1,,,3,,,,1,2,3,4,5,,,,,10,,,,3,,,,,,2,,,,,7,8,,,,2,3,,,,,,2,2,2,2,3,3,3,3,,,,,,,,4,,,1,구체적인 사례와 예시,
26148,2,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,5,,,,,,1,,,4,,,,,1,2,2,2,,3,3,3,,,,,,,3,,,,1,,
26141,1,,,3,,,,1,2,3,4,5,,7,8,9,,,,,4,3,,5,Contents,1,2,3,,5,6,7,8,,,1,2,,,,6,,,2,1,2,1,2,3,2,3,,,,,1,2,3,,,,1,,
26157,2,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,5,,,,,,,2,,,,6,,,1,2,1,1,,3,,,,,,,,,,4,,,2,,
26140,1,,,3,,,,1,2,3,4,5,6,7,8,9,10,,,,4,3,,,,,,,,,,7,,,,1,2,3,4,5,6,,,2,2,2,2,1,1,1,1,,,,,1,2,3,4,,,1,구체적인 사례와 예시,인공지능 및 AI 연구
26171,1,,,3,,,,,,,,,,,8,,,,,,3,,,3,,1,,,,,,7,,,,,,,,,6,,,2,2,2,1,3,3,2,3,,,,,,,3,,,,1,구체적인 사례와 예시,
26160,1,1,,,,,,1,2,,,,,,8,,,,,,4,1,,2,,1,2,,,5,,,,,,1,,3,,,,,,2,1,2,2,2,,2,2,,,,,1,2,,,,,1,구체적인 사례와 예시,표절 및 유사도 검사
26161,1,,,3,,,,,,,,,,,,9,10,,,,4,3,,4,,,,,,,,7,,,,,,,,,6,,,2,2,2,2,2,2,1,1,,,,,1,,,,,,1,,
26173,1,,,3,,,,1,2,3,,,,,,,,,,,4,3,,3,,1,2,,4,,,,,,,1,,3,,,,,,1,1,1,1,,,,,,,,,,2,3,,,,2,,
26178,1,,,,4,,,,2,,,,,,,9,10,11,,,3,,,2,,1,2,3,,,6,7,,,,,2,3,,,6,,,1,2,2,2,3,2,2,2,,Case-based Contents,Case-based Contents,Case-based Contents,,,3,,,,1,구체적인 사례와 예시,구체적인 사례 중심의 연구윤리 교육
26170,1,1,,,,,,,,,,5,,,,,10,,,,4,1,,4,,1,,,,,6,7,,,,,,3,,,,,,1,2,2,2,,2,2,2,,,,,,2,3,4,,,2,,
26191,1,,,3,,,,1,2,,4,,,,8,,,,,,4,2,,3,,,,,,5,,,,,,,,,,,6,,,2,2,2,1,2,2,2,,,,,,1,2,3,,,,1,홍보와 접근성 개선,
26198,1,1,,,4,,,1,2,,,,,,,,10,,,,3,,,3,,1,,,,5,,7,,,,1,,3,,5,,,,2,1,1,1,3,,,,KIOST-related Contents,,,,,,,,5,조직 내 실제 사례,1,구체적인 사례와 예시,인공지능 및 AI 연구
26202,1,1,,3,,,,1,2,,,,,,,,,11,,,4,1,,1,,,,3,,,,,,,,1,,,,,,,,1,2,2,2,3,1,1,1,Short,,,,,,3,,,,2,,연구비 집행
26216,2,,,,,,,,,,,,,,,,,,,,,,,,,1,2,3,4,,6,7,,,,,2,,,,6,,,1,1,1,1,,,,,,,,,1,2,3,4,,,2,,
26258,1,,,3,,,,1,2,,,,,,,,,,,,4,1,,,,,2,,4,,,,,,,,2,,,,,,,2,2,2,2,2,2,2,2,,,,,1,,,,,,2,,논문 작성과 출판 관련 문제
26328,1,,,3,,,,1,2,,,,,,,,,,,,3,,,2,,,2,,,5,6,,,,,,,,,5,6,,,2,2,2,2,3,3,3,3,,,,,1,,,,,,2,,
26199,1,,,3,,,,1,2,,,5,6,,,9,,11,,,5,3,,,,,,,,,,7,,,,,,3,,,,,,1,2,2,1,,1,1,,,,,,,,3,,,,1,홍보와 접근성 개선,연구 참여자 및 출판 윤리
26400,1,,,3,,,,,2,,4,5,6,7,,,,,,,3,,,3,,1,2,,,,,7,8,,,1,,,,5,,,,2,2,2,2,3,2,3,2,methods to increase researchers’ concentration,,,,1,,3,,,,2,,논문 작성과 출판 관련 문제
26514,1,,,3,,,,1,2,,4,,,,,,,,,,5,1,,3,,1,,3,,,,,,,,,2,,,,,,,2,2,2,1,3,3,2,3,,,,,1,,,,,,1,,
26519,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,7,,,,1,,3,,,,,,2,2,2,2,3,3,3,3,,,,,,2,3,,,,2,,
26671,1,,,3,,,,1,,,,5,,,,,,11,,,3,,,3,,1,,,,5,6,,8,,,,,3,4,,,,,1,2,2,2,3,3,3,3,Punshiment Case-based Contents,Punshiment Case-based Contents,Punshiment Case-based Contents,Punshiment Case-based Contents,,,3,4,,,2,,연구윤리 교육과 지침
26765,1,,,3,,,,1,2,3,4,5,6,7,8,9,10,,,,4,3,,2,,1,,,,,,7,8,,,,,3,,5,6,,,2,2,1,1,2,2,,,,,,,1,,,4,,,2,,
26739,1,1,,3,4,,,,2,3,,5,,7,,,,,,,4,3,,5,Methods,1,2,3,4,,,,,,,,2,3,,,6,,,2,2,2,1,2,2,2,,,,,,1,2,,,,,2,,
26816,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,3,,,,,,1,1,1,1,,,,,,,,,,,3,4,,,2,,논문 작성과 출판 관련 문제
26895,1,1,,,,,,1,2,,,5,,,,,10,,,,5,1,,5,,1,,,,,,,8,,,,,3,,,,,,2,2,2,2,2,2,1,2,,,,,,2,,,,,1,,
27004,1,,,3,,,,1,2,,,,,,,,,11,,,3,,,5,,,,3,,,,,,,,,2,,,,,,,2,2,2,2,,,,,,,,,,,3,,,,2,,
27015,1,,,3,,,,1,2,,,5,,,,,,,,,3,,,3,,,2,3,4,,,7,,,,1,,3,,5,,,,1,2,2,1,3,2,3,3,,,,,,2,,4,,,2,,인공지능 및 AI 연구
27046,1,,,3,,,,,,,,,,,8,,,,,,3,,,,,,,,,,,7,,,,,,,,,6,,,2,2,1,1,3,3,3,3,,,,,,2,,,,,2,,
27725,1,,,3,,,,,,,,5,6,,,,,,,,4,3,,5,,1,,3,,,,,,,,,2,,,,,,,2,1,1,1,3,,,,,,,,1,,,,,,2,,연구비 집행
27863,1,,,3,,,,,2,,,,6,,8,9,10,,,,3,,,5,Contents,1,2,,,,,7,,,,1,,3,,,,,,2,1,1,1,3,,,,,,,,1,,,4,,,2,,
28045,1,,,3,,,,,2,,,5,,,,,10,,,,3,,,3,,,2,3,,5,6,,8,,,1,,3,,,6,,,2,2,1,2,3,3,3,3,,,,,,2,,4,,,2,,부실 학술지 및 연구윤리에 관한 고민
